code_postal,latitude,longitude,nom_commune_complet,code_departement,nom_departement,code_region,nom_region
1420,46.005695299,5.76893393185,Chanay,1,Ain,84,Auvergne-Rhône-Alpes
1990,46.0934984191,4.85473364691,Chaneins,1,Ain,84,Auvergne-Rhône-Alpes
1400,46.1861812234,5.02807719246,Chanoz-Châtenay,1,Ain,84,Auvergne-Rhône-Alpes
1240,46.0744536905,5.02162055898,La Chapelle-du-Châtelard,1,Ain,84,Auvergne-Rhône-Alpes
1130,46.1856344066,5.6811896084,Charix,1,Ain,84,Auvergne-Rhône-Alpes
1800,45.8736786869,5.2211032563,Charnoz-sur-Ain,1,Ain,84,Auvergne-Rhône-Alpes
1500,45.9730390239,5.30754273532,Château-Gaillard,1,Ain,84,Auvergne-Rhône-Alpes
1320,46.0259402155,5.2048590395,Châtenay,1,Ain,84,Auvergne-Rhône-Alpes
1200,46.1293337743,5.770176021,Châtillon-en-Michaille,1,Ain,84,Auvergne-Rhône-Alpes
1200,46.1293337743,5.770176021,Châtillon-en-Michaille,1,Ain,84,Auvergne-Rhône-Alpes
1200,46.1293337743,5.770176021,Châtillon-en-Michaille,1,Ain,84,Auvergne-Rhône-Alpes
1320,45.9748017433,5.2416027725,Châtillon-la-Palud,1,Ain,84,Auvergne-Rhône-Alpes
1400,46.1232390685,4.95810003714,Châtillon-sur-Chalaronne,1,Ain,84,Auvergne-Rhône-Alpes
1190,46.4379785193,5.00693749662,Chavannes-sur-Reyssouze,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.2750157946,5.41649423093,Nivigne et Suran,1,Ain,84,Auvergne-Rhône-Alpes
1660,46.1991513767,5.0564069258,Chaveyriat,1,Ain,84,Auvergne-Rhône-Alpes
1510,45.8824049535,5.72499814516,Chavornay,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.7925770617,5.68477063188,Chazey-Bons,1,Ain,84,Auvergne-Rhône-Alpes
1150,45.8929448968,5.25528498524,Chazey-sur-Ain,1,Ain,84,Auvergne-Rhône-Alpes
1510,45.8227204334,5.6050023969,Cheignieu-la-Balme,1,Ain,84,Auvergne-Rhône-Alpes
1430,46.1103512578,5.58116056005,Chevillard,1,Ain,84,Auvergne-Rhône-Alpes
1190,46.38249255,4.96288275972,Chevroux,1,Ain,84,Auvergne-Rhône-Alpes
1170,46.283152935,6.04707941462,Chevry,1,Ain,84,Auvergne-Rhône-Alpes
1200,46.222573373,5.87248105275,Chézery-Forens,1,Ain,84,Auvergne-Rhône-Alpes
1410,46.222573373,5.87248105275,Chézery-Forens,1,Ain,84,Auvergne-Rhône-Alpes
1390,45.922467454,4.88633786877,Civrieux,1,Ain,84,Auvergne-Rhône-Alpes
1250,46.2003848172,5.45082526739,Cize,1,Ain,84,Auvergne-Rhône-Alpes
1230,45.902146623,5.43272695486,Cleyzieu,1,Ain,84,Auvergne-Rhône-Alpes
1270,46.3866637865,5.3308227014,Coligny,1,Ain,84,Auvergne-Rhône-Alpes
1550,46.1419227898,5.90040256654,Collonges,1,Ain,84,Auvergne-Rhône-Alpes
1300,45.7361469025,5.62670101041,Colomieu,1,Ain,84,Auvergne-Rhône-Alpes
